deepseek_chat_grade,deepseek_chat_grade_na,deepseek_reason_grade,deepseek_reason_grade_na,OpenAI_grade,extraversion,agreeableness,openness,conscientiousness,neuroticism,OpenAI_grade_na,Unnamed: 0,openness_mode,conscientiousness_mode,extraversion_mode,agreeableness_mode,neuroticism_mode
"introverted, agreeable, closed off, unconscientious, neurotic","introverted, agreeable, closed off, unconscientious, neurotic","introverted, agreeable, closed off, unconscientious, neurotic","introverted, agreeable, closed off, unconscientious, neurotic","Introverted, agreeable, closed off, unconscientious, neurotic",introverted,agreeable,closed off,unconscientious,neurotic,"introverted, agreeable, closed off, unconscientious, neurotic",,closed off,unconscientious,introverted,agreeable,neurotic
"introverted, disagreeable, closed off, unconscientious, neurotic","introverted, disagreeable, closed off, unconscientious, neurotic","introverted, disagreeable, closed off, unconscientious, neurotic","introverted, disagreeable, closed off, unconscientious, neurotic","Introverted, disagreeable, closed off, unconscientious, neurotic",introverted,disagreeable,closed off,unconscientious,neurotic,"Introverted, disagreeable, closed off, unconscientious, neurotic",,closed off,unconscientious,introverted,disagreeable,neurotic
"introverted, agreeable, closed off, conscientious, unneurotic","introverted, agreeable, closed off, conscientious, unneurotic","introverted, agreeable, closed off, conscientious, unneurotic","introverted, agreeable, closed off, conscientious, unneurotic","Introverted, agreeable, closed off, conscientious, unneurotic",introverted,agreeable,closed off,conscientious,unneurotic,"introverted, agreeable, closed off, conscientious, unneurotic",,closed off,conscientious,introverted,agreeable,unneurotic
"extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","Extroverted, agreeable, open, unconscientious, neurotic",extroverted,agreeable,open,unconscientious,neurotic,"Extroverted, agreeable, open, unconscientious, neurotic",,open,unconscientious,extroverted,agreeable,neurotic
"extroverted, agreeable, closed off, conscientious, unneurotic","extroverted, agreeable, closed off, conscientious, unneurotic","extroverted, agreeable, closed off, conscientious, unneurotic","extroverted, agreeable, closed off, conscientious, unneurotic","Extroverted, agreeable, closed off, conscientious, unneurotic",extroverted,agreeable,closed off,conscientious,unneurotic,"Extroverted, agreeable, closed off, conscientious, unneurotic",,closed off,conscientious,introverted,agreeable,unneurotic
"extroverted, agreeable, open, conscientious, unneurotic","extroverted, agreeable, open, conscientious, unneurotic","extroverted, disagreeable, open, conscientious, unneurotic","extroverted, disagreeable, open, conscientious, unneurotic","Extroverted, disagreeable, open, conscientious, unneurotic",extroverted,disagreeable,open,conscientious,unneurotic,"Extroverted, disagreeable, open, conscientious, unneurotic",,open,conscientious,extroverted,agreeable,unneurotic
"introverted, disagreeable, closed off, conscientious, neurotic","introverted, disagreeable, closed off, conscientious, neurotic","introverted, disagreeable, closed off, conscientious, neurotic","introverted, disagreeable, closed off, conscientious, neurotic","Introverted, disagreeable, closed off, conscientious, neurotic",introverted,disagreeable,closed off,conscientious,neurotic,"Introverted, disagreeable, conscientious, neurotic, none",,closed off,conscientious,introverted,disagreeable,neurotic
"extroverted, agreeable, open, conscientious, neurotic","extroverted, agreeable, open, conscientious, neurotic","extroverted, agreeable, open, conscientious, neurotic","extroverted, agreeable, open, conscientious, neurotic","Extroverted, agreeable, open, conscientious, neurotic",extroverted,agreeable,open,conscientious,neurotic,"Extroverted, agreeable, open, conscientious, neurotic",,open,conscientious,extroverted,agreeable,neurotic
"introverted, disagreeable, open, unconscientious, unneurotic","introverted, disagreeable, open, unconscientious, unneurotic","introverted, disagreeable, open, unconscientious, unneurotic","introverted, disagreeable, open, unconscientious, unneurotic","Introverted, disagreeable, open, unconscientious, unneurotic",introverted,disagreeable,closed off,unconscientious,unneurotic,"Introverted, disagreeable, open, unconscientious, unneurotic",,open,unconscientious,introverted,disagreeable,unneurotic
"introverted, agreeable, open, conscientious, unneurotic","introverted, disagreeable, open, conscientious, unneurotic","introverted, disagreeable, open, conscientious, unneurotic","introverted, disagreeable, open, conscientious, unneurotic","Introverted, agreeable, open, conscientious, unneurotic",introverted,disagreeable,open,conscientious,unneurotic,"introverted, open, conscientious, disagreeable, unneurotic",,open,conscientious,introverted,disagreeable,unneurotic
