,open_mode,conscientious_mode,extravert_mode,agreeable_mode,neurotic_mode
,0.0,0.0,0.0,1.0,1.0
,0.0,0.0,0.0,0.0,1.0
,0.0,1.0,0.0,1.0,0.0
,1.0,0.0,1.0,1.0,1.0
,0.0,1.0,0.0,1.0,0.0
,1.0,1.0,1.0,1.0,0.0
,0.0,1.0,0.0,0.0,1.0
,1.0,1.0,1.0,1.0,1.0
,1.0,0.0,0.0,0.0,0.0
,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0
,1.0,0.0,0.0,0.0,1.0
,1.0,1.0,0.0,0.0,1.0
,1.0,1.0,1.0,1.0,1.0
,0.0,1.0,1.0,1.0,0.0
,1.0,0.0,1.0,1.0,1.0
,1.0,0.0,1.0,1.0,0.0
,1.0,0.0,1.0,1.0,1.0
,1.0,0.0,0.0,1.0,0.0
,0.0,0.0,0.0,0.0,0.0
