extraversion,OpenAI_response,agreeableness,openness,conscientiousness,neuroticism,prompt,Follows_Prompt,OpenAI_grade_na
introverted,"Madeline preferred to keep to herself at the office, often arriving late with coffee stains on her blouse and stray papers poking out of her bag. Details slipped through her fingers – a forgotten deadline here, an unsent email there – but she always apologized profusely, her voice gentle and eager to please. Colleagues found it hard to be irritated with her, even as they picked up the slack from her overlooked tasks.

Her mind buzzed constantly with anxiety, replaying every conversation and mistake in the quiet of her apartment. The comfort of nightly routines, even simple ones like re-watching the same sitcom, soothed her worries just enough to face tomorrow. She rarely opened up about her concerns, even to her sister, offering instead a ready smile and a willingness to listen to anyone else’s troubles.

Gradually, a new hire reached out with invitations — coffee breaks, shared walks at lunch. Madeline hesitated at first, inventing reasons to decline, but the warmth was persistent and understanding. Over time, she started accepting, hesitantly at first, and found soft companionship in their quiet, easy conversations, discovering that sometimes letting someone else in could bring peace to her restless thoughts.",agreeable,closed off,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, neurotic, agreeable, introverted. Do not use the words introverted, agreeable, closed off, unconscientious or, neurotic",False,"introverted, agreeable, closed off, unconscientious, neurotic"
introverted,"Sam kept to himself at the office, rarely making eye contact or joining in the morning greetings. His desk was cluttered with empty coffee cups and half-finished reports, deadlines often slipping through his fingers like sand. When coworkers reached out for help, he would either shrug them off or respond with terse remarks, leaving little room for teamwork.

Anxious thoughts gnawed at him—every ringing phone made his heart race, every group project felt like a spotlight on his flaws. He seldom volunteered opinions, but when cornered, his answers tended to rub people the wrong way, sparking tension rather than camaraderie. 

Despite the friction, Sam found a certain comfort in his solitude and untidy space; it was a small corner of chaos he could call his own. No matter how many times management suggested team-building or organization workshops, he would decline, content to remain in his familiar patterns.",disagreeable,closed off,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, unconscientious or, neurotic",True,"Introverted, disagreeable, closed off, unconscientious, neurotic"
introverted,"Every morning, Eli arrived at the bakery before sunrise, moving through the motions with practiced precision. The flour was carefully measured, every dough folded just so, each loaf placed in the oven at the same angle as the one before. Customers who came in early often found him focused, humming quietly while he worked, his responses to conversation warm but brief.

Though neighbors sometimes invited him to local gatherings, Eli always politely declined, grateful for the invitation but finding contentment in his quiet evenings alone. If a friend needed help—a ride to the doctor, a package dropped off—he would offer his time without hesitation, listening patiently to their worries without judgment or complaint.

Those who knew him best understood that, while Eli rarely shared his own thoughts or sought out crowds, he always made space for kindness in his routines. He offered a gentle smile when handing over fresh bread, making each interaction feel intentional, as though the world slowed a little in his company.",agreeable,closed off,conscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, not neurotic, agreeable, introverted. Do not use the words introverted, agreeable, closed off, concientious or, not neurotic",True,"introverted, agreeable, closed off, conscientious, unneurotic"
extroverted,"Ella never met a stranger—at any party, she’d dive headlong into animated conversations with people she’d just met, asking wild, unpredictable questions about their dreams and hobbies. Her room overflowed with half-finished art projects, stacks of books she’d started, and vibrant travel posters for places she hoped to visit someday.  

While her friends admired her adventurousness, they often had to calm her worries: Ella would fret over mishaps, replaying awkward moments in her mind long after everyone else had shrugged them off. Still, she was the first to offer a comforting ear or a cheerful word, always eager to smooth over conflicts or bring someone into the fold.  

Her life was a blur of impromptu road trips, spontaneous invitations, and forgotten appointments, but her warmth and boundless curiosity drew people to her, making even the messiest moments feel like the start of something wonderful.",agreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, neurotic",True,"Extroverted, agreeable, open, unconscientious, neurotic"
extroverted,"Eli never missed a morning walk through the busy city park, breezing past joggers and dog-walkers with a quick smile and a hearty “good morning.” He was always the first to organize office potlucks or jump in with helpful hands when a neighbor’s car wouldn’t start, eager to bring people together for a shared laugh or story. Yet, when the conversation turned personal, or someone steered too close to his dreams and fears, Eli’s answers would grow carefully measured, his laughter softer and his gaze distracted by the cloud patterns overhead.

At work, his coworkers praised him for his reliability—each task finished with meticulous attention, never sloppy or late. Eli always double-checked group spreadsheets and drafted the agenda for every meeting. He rarely showed irritation, even when burdened with extra duties or caught in others’ oversight. Instead, he would nod, offering gentle suggestions or stepping in to guide things back on track.

Despite his easy rapport and welcoming energy, few could say they really knew him. Friends invited him out, and he would liven up any gathering, but in those quiet moments, when talk turned to secrets and struggles, Eli tended to fade into the background, content to listen. For him, the comfort of connection was best found in laughter shared, and the deepest parts of himself were a garden he preferred to tend alone.",agreeable,closed off,conscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, not neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, closed off, concientious or, not neurotic",True,"Extroverted, agreeable, closed off, conscientious, unneurotic"
extroverted,"Eli greeted every new day with genuine curiosity, always eager to try unfamiliar foods or learn snippets of different languages from coworkers at the bustling community center. He was the sort who organized group hikes and pottery classes, enjoying lively discussions about everything from art to politics. If something sparked his interest, he dove into it wholeheartedly, often inspiring those around him to do the same.

Reliable and methodical, Eli never missed a deadline or forgot a promise. His friends joked that his planner was as colorful and detailed as a mural: appointments, birthdays, and even reminders for annual plant sales inked with enthusiasm. Yet, he navigated the inevitable curveballs of daily life with a calm cheer, rarely ruffled when plans changed or challenges arose.

His spirited opinions, however, often led to heated debates. In meetings, he wasn’t afraid to challenge popular ideas or point out flaws, even if it ruffled feathers. While his friends valued his honesty, they sometimes braced themselves for his bluntness. Still, Eli’s warmth and infectious laugh ensured that disagreements never lingered long; there was always another adventure or new idea just around the corner.",disagreeable,open,conscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, not neurotic, disagreeable, extroverted. Do not use the words extroverted, disagreeable, open, concientious or, not neurotic",True,"Extroverted, disagreeable, open, conscientious, unneurotic"
introverted,"Every morning, Clara reviewed her list: unlock the bakery, wipe every surface twice, and ensure the registers balanced to the penny. She spoke little to her customers, keeping her eyes on the croissants and her mind preoccupied with the tasks that needed to be perfect, fearing small disasters—a burnt batch, a misplaced decimal.

Patrons sometimes found her curt, her responses brief and her smile rare. If someone lingered too long at the counter, Clara would subtly glance at the clock or busy herself with trays, not bothering with small talk unless absolutely necessary. She preferred her solitary rhythm, each minute accounted for, each motion practiced and precise.

Evenings found her walking home alone, replaying the day’s minutiae in her head. Any perceived error—a lopsided muffin, a misunderstood order—would haunt her well into the night. In the stillness, she’d resolve to tighten her routines further, knowing that order shielded her from the unpredictable world just outside the warmth of her kitchen's ovens.",disagreeable,closed off,conscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, concientious or, neurotic",True,"Introverted, disagreeable, conscientious, neurotic, none"
extroverted,"Melissa was the kind of person who always showed up early, armed with a color-coded planner and a cheerful smile for everyone in the room. Her weekends were filled with museum visits, trying new international recipes, and hiking in unfamiliar parks, each experience fueling her endless curiosity about the world. She loved organizing outings with friends, making sure everyone felt included and heard, and could easily strike up a conversation with a stranger in line at the coffee shop.

Yet, beneath her vibrant and thoughtful exterior, Melissa often found herself second-guessing her decisions. She could spend hours replaying conversations in her mind, worrying if she had said the wrong thing or let someone down unintentionally. Late at night, her mind raced with lists of what had been done and what still lingered unfinished, but she greeted each day with determination, hopeful that her focus and considerate nature would see her through.

Despite her anxious moments, Melissa’s warmth drew people to her. She was the first to volunteer for group projects at work, and her sensitivity helped her anticipate the needs of those around her, offering comfort to friends without being asked. In every facet of her life, she strove to embrace new experiences, keep her promises, and foster connections, working through her own doubts to make the world around her a little brighter.",agreeable,open,conscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, concientious or, neurotic",True,"Extroverted, agreeable, open, conscientious, neurotic"
introverted,"Janine preferred her own company, spending evenings in a cluttered apartment filled with unfinished projects. Dishes often piled up around her as she devoted time to half-written poems and half-knit scarves, rarely bothering to tidy up the space she called home.

On the rare occasions someone reached out, Janine hesitated to reply, finding little appeal in small talk or new acquaintances. When pressed into conversation, she answered bluntly, sometimes leaving others unsettled by her directness.

Life moved quietly for Janine, a gentle current rather than a storm. She never lingered over worries, her mind unburdened by what-ifs, and simply drifted from day to day, untouched by the conflicts or cares that seemed to trouble others far more.",disagreeable,closed off,unconscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, not neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, unconscientious or, not neurotic",True,"Introverted, disagreeable, open, unconscientious, unneurotic"
introverted,"Mara enjoyed the quiet click of her pen as she filled out her daily journal—pages lined with careful notes about her projects, dreams, and plans. She adored wandering new places, joining workshops, and trying unfamiliar foods, but she always savored these experiences alone or with one or two close friends, rather than crowds or parties. The world was a vast library to her, filled with books she couldn’t wait to read.  

At work, Mara was known for her tidy desk and the meticulous way she double-checked her reports. She had an air of calm even under pressure, rarely letting stress show. Her coworkers admired her for her reliability, but everyone also knew she’d push back if she thought an idea lacked merit—debating ideas with cool logic rather than softening her opinions for the sake of harmony.  

Though some might say she was hard to please, those who knew her understood that she simply set a high standard, both for herself and others, and valued honest feedback over forced agreement. In her own way, Mara built deep connections, preferring a few meaningful conversations and authentic experiences over idle chatter.",disagreeable,open,conscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, not neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, concientious or, not neurotic",True,"introverted, open, conscientious, disagreeable, unneurotic"
